Name,Player Name,Team,Country,Age,Position,Picture Url,Appearances,Assist,Ball Recovery,Block,Block Cross,Clearance,Create Chance,Cross,Dribble Success,Foul,Fouled,Free Kick,Goal,Header Won,Intercept,Own Goal,Passing,Penalty Goal,Saves,Shoot Off Target,Shoot On Target,Tackle,Yellow Card
KEVIN L,KEVIN ALEXANDER LOPEZ SALDARRIAGA,PSBS BIAK,COLOMBIA,25,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25076141.png,5,0,5,1,1,11,0,0,1,9,4,9,0,7,15,0,160,0,0,4,1,7,1
EDUARDO B,EDUARDO MIGUEL RAMOS BARBOSA,PSBS BIAK,PORTUGAL,22,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25084522.png,5,1,6,0,1,2,2,0,4,6,5,2,0,3,6,0,138,0,0,4,0,5,1
LUCKY,LUCKY OCTAVIANTO,PSBS BIAK,INDONESIA,32,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1613722534.png,3,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,50,0,0,0,0,5,0
M. ISA,MUHAMMAD ISA,PSBS BIAK,INDONESIA,31,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1613560486.png,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G. BROWN,GEORGE PETER BROWN,PSBS BIAK,INDONESIA,26,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE23106243.png,4,0,0,0,0,0,2,1,0,2,0,3,0,0,4,0,68,0,0,0,0,8,0
Y. PUTRA,DAMIANUS ADIMAN PUTRA,PSBS BIAK,INDONESIA,22,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE24226003.png,3,0,0,2,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0
CLAUDIO,CLAUDIO BECKHAM DE OLIVEIRA,PSBS BIAK,INDONESIA,19,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE22286558.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I. U. ARMAIYN,ILHAM UDIN ARMAIYN,PSBS BIAK,INDONESIA,29,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE7571.png,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0
RUMERE JR,PATRIAS RUMERE,PSBS BIAK,INDONESIA,37,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE4930.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDRADE,PABLO ANDRADE PLAZA DA SILVA,PSBS BIAK,BRAZIL,31,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25109090.png,4,1,4,3,2,9,4,1,0,0,0,5,0,5,9,0,98,0,0,0,1,0,0
WISNU,ANDIKA WISNU PRADIPTA,PSBS BIAK,INDONESIA,28,P. GAWANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE21091559.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KADU M,ALDO GERALDO MANUEL MONTEIRO,PSBS BIAK,PORTUGAL,31,P. GAWANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25072304.png,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,15,0,0,0,1
MOSES M.,MOSES ELIAS ALMENDO MADJAR,PSBS BIAK,INDONESIA,20,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE24105477.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T. SOLOSSA,THOBIAS PARVIDDYA JUNIOR SOLOSSA,PSBS BIAK,INDONESIA,19,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE23095104.png,2,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,1,0,0,0
J MADJAR,SOLFANUS JUAN CARLOS MADJAR,PSBS BIAK,INDONESIA,21,P. GAWANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE25078639.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJA SIREGAR,RAJA IMAM SIREGAR,PSBS BIAK,INDONESIA,21,DEPAN,https://assets.ligaindonesiabaru.com/uploads/images/player/PE23052994.png,4,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0
HADI,HADI ARDIANSYAH,PSBS BIAK,INDONESIA,25,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1817438049.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQBAL HADI,IQBAL HADI PERDANA,PSBS BIAK,INDONESIA,24,BELAKANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE1816457519.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
N. ALOM,NELSON ALOM,PSBS BIAK,INDONESIA,35,TENGAH,https://assets.ligaindonesiabaru.com/uploads/images/player/PE3082.png,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DIMAS,DIMAS GALIH PRATAMA,PSBS BIAK,INDONESIA,33,P. GAWANG,https://assets.ligaindonesiabaru.com/uploads/images/player/PE4112.png,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0
